price1,price2,price3,price4,price5,price6,price7,price8,price9,price10,price11,price12,price13,price14,price15,price16,price17,price18,price19,price20,price21,price22,price23,price24,price25,price26,price27,price28,price29,price30,low_media,low_media_iter2,low_media_iter3,low_delta,high_media,high_media_iter2,high_media_iter3,high_delta,subida_exa,subida_exa_index
38806.6,38923.7,38990.01,38905.86,38937.97,38903.16,38942.74,38888,38860,38906.91,38928.46,38909.13,38900.9,38873.52,39064.25,39088.6,39021.93,39051.61,39050.19,39033.9,38999.99,38953.27,38867.34,38860.36,38830,38774.31,38832.75,38872.11,38930.55,38946.86,38118.8,38318.4,38466.5,37961,38967.3,38907.3,38881.3,38723.9,1,2
38724.79,38829.67,38820.18,38855.23,38919.74,38968.02,38927.44,38827.11,38855.14,38856.56,38820.02,38847.01,38855.44,38849.95,38885.71,38903.24,38825.99,38899.94,38867.75,38900,38998.16,39095.55,39140,39241.72,39212.28,39268.69,39311.77,39311.66,39358.34,39259.21,38180.4,38313.4,38408.1,38282.2,38822.3,38756.8,38727.1,38992.3,1,1
39727.1,39796.04,39842.96,39919.99,40100,40167.21,40056.35,40153.99,40488.01,40790.55,40383.58,40475.58,40570.67,40606.9,40601.72,40757.62,40902.84,40993.34,40880.11,40902.62,40656.1,40659.96,40430,40565.49,40572.05,40749.63,40747.91,40675.76,40721.45,40512.03,38445,38886.2,39039.5,38839.4,39851.9,39825.8,39809.7,39563.2,1,3
41561.32,41810.29,41853.79,41865.99,41847.32,41802.1,41726.77,41847.59,41895,41735.32,41827.14,41748.56,41416.05,41077.01,41057.12,40718.97,40929.43,41057.15,41115.49,40919.01,41036.38,41288.95,41197.93,41227.97,41223.11,41001.56,40414.08,40531.66,40487.52,40695.1,41022.8,41203.3,41310.9,40929.2,41845.8,41714.8,41646.6,41632.5,1,2
40197.46,40187.11,40216.96,40189.15,40173.47,40217.84,40466.2,40543.28,40484.97,40441.42,40489.78,40421.47,40364.29,40410.15,40475.28,40441.65,40392.28,40410.95,40315.38,40373.5,40388.58,40340.13,40289.52,40269.15,40237.88,40274.93,40251.98,40296.22,40252.4,40140.66,39883.1,39988,40051.8,39762.8,40486.9,40338.5,40278.2,40452.6,1,7
40168.79,40200.51,40285.51,40389.67,40355.45,40421.17,40389.7,40450.41,40430.85,40424.94,40339.99,40366,40396.93,40323.13,40396.87,40370.37,40316.03,40368.5,40365.02,40333.2,40262.26,40237.99,40246.75,40241.18,40177.08,40187.93,40217.09,40227.15,40206.44,40027.19,39797.8,39955.4,40046.1,39839.1,40370.1,40270.1,40219.4,40464.3,1,3
41073.62,41055.49,41118.33,41303.27,41228.71,41219.95,41257.91,41289.96,41315.8,41352.22,41303.79,41301.09,41291.15,41282.95,41161.93,41115.5,41133.22,41195.79,41157.13,41049.44,41180,41125.53,41117.46,41092.06,41083,41059.96,41100.97,41058.81,41078.54,41077.18,40620.9,40779.9,40880.7,40657.4,41198.1,41139.2,41105.2,41246.5,1,3
34350.37,34350.37,34350.37,34350.37,34350.37,34350.37,34350.37,34350.37,34350.37,35528.12,35365.21,35252.81,35335.75,35329.19,35541.31,35591.89,35448.26,35440.78,35384.07,35265.28,35179.14,35329.99,35331.45,35249.92,35441.25,35324.64,35365.73,35293.26,35272.14,35420.15,33211,33776,34044.9,33049.4,34874.5,34652.4,34534.3,34248.3,1,9
35781.76,35861.78,36068.69,36200.61,36141.99,36280.32,36199.48,36256.62,36209.06,36209.19,36181.24,36147.6,36066.84,36181.44,36112.41,36133.3,36029.14,36013.24,35953.19,35900,35870.31,36050.26,35950.93,35835.93,35712.52,35722.92,35644.41,35599.01,35703.21,35777.36,34698.4,35041.4,35275.6,34606.2,36017.8,35861.9,35787.3,35860,1,2
32747.73,32929.63,32965.31,33094.27,33005.36,32905.09,33214.11,33360.87,33458.54,33441.71,33549.49,33413.38,33296.32,33028.88,32831.49,32845.41,32609.74,32535.71,32732.31,32938.83,32691.12,32706.57,32589.8,32470.22,32567.33,32710.57,32503.81,32694.6,32839.87,32966.44,30585.8,31107.4,31679.4,30787.9,33202.1,33031.8,32941.3,32030.8,1,9
