price1,price2,price3,price4,price5,price6,price7,price8,price9,price10,price11,price12,price13,price14,price15,price16,price17,price18,price19,price20,price21,price22,price23,price24,price25,price26,price27,price28,price29,price30,low_media,low_media_iter2,low_media_iter3,low_delta,high_media,high_media_iter2,high_media_iter3,high_delta,subida_exa,subida_exa_index
27888.82,27958.93,27854.35,27867.63,27880.22,27905.28,27961.46,27887.88,27900.76,27939.09,27926.22,27944.81,27947.17,27874.6,27788.14,27826.4,27742.66,27795.75,27749.99,27687.5,27692.26,27765.04,27741.02,27782.75,27818.84,27810.87,27795.97,27794.01,27732.3,27674.23,27672.8,27853.6,27951,28232.5,28632.9,28513.6,28422.1,28569.2,1,0
27556.44,27478.26,27510.78,27508.04,27561.69,27529.57,27573.21,27626.41,27616.99,27634.47,27578.65,27635.52,27685.95,27663.42,27693.62,27735.81,27741.24,27762,27777.19,27760.5,27742,27701.01,27737.89,27814.06,27787.59,27778.25,27772.96,27774.95,27777.14,27736.09,27584,27637.7,27655.6,27850.3,28372,28105.8,27936.6,28201.5,1,0
27815.13,27850.93,27878.94,27892.63,27853,27820.58,27760.13,27791.69,27775.74,27801.81,27821,27819.04,27841.39,27850,27798.17,27823.67,27805.59,27798.77,27849.99,27884.73,27896.49,27929.91,27937.88,27908.67,27919.99,27912.49,27925.69,27909.52,27909.72,27857.52,27710.2,27757.2,27777,27797.2,28064.5,27985.1,27911.4,28153.1,1,6
27811.54,27801.57,27729.18,27677.22,27714.6,27721.54,27716.57,27665.66,27658.88,27686.34,27621.16,27674.09,27664.04,27681.75,27699.97,27723.25,27720,27727.56,27740.77,27753.09,27719.01,27748.33,27737.47,27745.13,27733.26,27682.9,27725.14,27824.92,27838.82,27837.76,27759.4,27802,27824.9,27608.7,28105.1,28023.8,27978.1,27970,1,0
27858,27786.03,27744.78,27690.61,27671.61,27700.73,27676.17,27596.32,27648.07,27644.08,27641.28,27641.2,27672.56,27685.14,27687.91,27676.66,27720.61,27713.33,27706,27680.78,27668.1,27706.31,27718.15,27708.92,27719.4,27705,27694.72,27665.87,27689.21,27673.2,27726.8,27781.3,27808.3,27661.9,28150.8,28035.7,27972,28021.2,1,1
27888.52,27883.15,27860.96,27860.31,27850.38,27792.44,27800.41,27825.5,27818.93,27877.95,27909.16,27973.76,27881.75,27956.12,27926.29,27932.29,27962.02,27943.43,27993.73,27979.59,27943.96,27950.98,27945.48,27944.54,27965.63,28002.22,27982.07,27987.89,27955.08,27944.25,27789.2,27834.3,27860.3,27479.7,28144.1,28079.8,28043.6,27827.1,1,4
27931.17,27951.73,27953.34,27970,27942.42,27949.88,27946.92,27911.32,27881.42,27925.45,27912.37,27957.77,27965.71,27954.06,27938.16,27931.2,27886.45,27928.5,27995.26,28012.05,28005.85,27968.3,27942.42,27981.24,27963.64,27956.53,27951.98,27954.39,27976.66,27961.24,27878.9,27899.4,27909.6,27764.6,28193.4,28161.8,28138.6,28100.4,1,8
28823.08,28793.16,28742.11,28763.13,28656.56,28540.1,28610.61,28709.35,28667.02,28661.9,28676.08,28589.18,28629.33,28653.77,28726.17,28709.49,28723.51,28772.83,28746.26,28734.29,28766.82,28772.91,28769.94,28786.73,28806.7,28824.35,28799.99,28765.03,28776.46,28792.81,28461.7,28619.6,28686.3,28458.4,29011.8,28938.4,28909.4,28706.2,1,4
28759.7,28710.04,28754.59,28706.91,28680.88,28693.44,28708.17,28713.22,28716.77,28680.46,28672.48,28704.13,28707.29,28718.7,28763.47,28776.25,28783.12,28780.05,28759.91,28753.96,28710.02,28727.27,28709.18,28696.41,28674.25,28661.16,28660.79,28700,28749.99,28767.94,28522.5,28641.7,28721.4,28721.6,29099.5,28971.3,28897.7,28976.1,1,1
28688.32,28640.75,28581.51,28627.86,28653.53,28666.53,28659.23,28646,28713.56,28707.43,28720.72,28754.99,28758.81,28720,28719.25,28753.96,28811.1,28807.27,28850.21,28817.68,28822.41,28844.79,28841.19,28842.33,28867.89,28839.27,28833.6,28820.01,28857.95,28905.89,28646.6,28706.1,28730.8,28651,29040.2,28949,28883.4,28910.6,1,0
28870.71,28878.4,28887.65,28895.97,28845.4,28866.11,28792.49,28806.11,28812.28,28801.46,28752,28785.72,28796.54,28826.06,28784.66,28768.55,28733.36,28769.29,28768.96,28725.87,28732.01,28743.07,28754.15,28798.08,28800.2,28799.56,28850,28874.83,28862.46,28855,28710.9,28775.4,28814.9,28793.7,29147.8,29069,29012.1,29058.9,1,6
28831.64,28871.66,28838.96,28869.9,28824.16,28799.03,28796.68,28767.92,28815.41,28822.1,28809.18,28784.34,28766.43,28787.3,28797.82,28805.91,28771.04,28789.41,28775.82,28780.65,28708.66,28685.48,28661.94,28655.12,28625,28679.81,28714.15,28725,28703.88,28699.01,28736.6,28790.6,28818.3,28763,29041.4,28965.5,28920.8,29024.4,1,5
28757.17,28784.47,28870.54,28835.66,28803.74,28776.92,28680.38,28658.3,28365.46,28435.49,28530.81,28516.58,28451.95,28497.27,28548,28622.82,28645.49,28562.25,28485.91,28514.95,28470,28549.1,28583.05,28557.4,28541.63,28518.5,28527.78,28394.69,28458.51,28500,28947.2,29028.6,29066.4,29074.5,29429.9,29321.4,29223.6,29337.3,1,0
28701.73,28653.03,28693.64,28674.42,28676.51,28655.84,28673.12,28657.13,28650.01,28663.86,28662.23,28646.06,28688.14,28703.24,28672.35,28637.38,28623.2,28656.03,28667.48,28718.48,28754.91,28757.1,28769.69,28755.69,28735.99,28771.63,28736.66,28686.8,28715.19,28771.67,28430.6,28585,28658.1,28341.5,29146.7,28931.9,28789.3,28641.3,1,1
28775.34,28771.28,28771.48,28768.21,28774.22,28752.01,28736.33,28730.68,28722.22,28715.93,28703.87,28690.01,28689.43,28701.17,28701.19,28672.51,28703.35,28693.56,28687.82,28675.23,28688.96,28669.4,28649.35,28674.94,28671.35,28686.74,28688.81,28705.09,28720.49,28737.98,28549.2,28668.2,28721,28546.8,29015.2,28887.5,28834,28851.1,1,9
